"","Assemblage","t","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1","eDNA",1,"Rarefaction",0,34.7647058823529,32.9079793882146,36.6214323764913,0.515862944162437,0.486906104196072,0.544819784128801
"2","eDNA",2,"Rarefaction",0,51.5955882352942,49.3138153989425,53.8773610716459,0.713705583756346,0.689259558001041,0.73815160951165
"3","eDNA",3,"Rarefaction",0,61.5485294117647,59.0233912145004,64.073667609029,0.812781000725164,0.794087289194244,0.831474712256084
"4","eDNA",4,"Rarefaction",0,68.057142857143,65.3465345218034,70.7677511924825,0.868892359755305,0.854233722524518,0.883550996986091
"5","eDNA",5,"Rarefaction",0,72.6150614091792,69.7485048055524,75.4816180128061,0.903355739015637,0.891186326724139,0.915525151307135
"6","eDNA",6,"Rarefaction",0,75.9748707175181,72.9667317153036,78.9830097197325,0.92595855920729,0.915327530470992,0.936589587943588
"7","eDNA",7,"Rarefaction",0,78.5488996297823,75.4057352923677,81.692063967197,0.941570823423615,0.93195147571397,0.95119017113326
"8","eDNA",8,"Rarefaction",0,80.5801727684082,77.3054134702355,83.8549320665808,0.952782412173275,0.943863961044327,0.961700863302223
"9","eDNA",9,"Rarefaction",0,82.2216783216784,78.8177361866883,85.6256204566686,0.961072852697218,0.9526438615476,0.969501843846836
"10","eDNA",10,"Rarefaction",0,83.5749691484989,80.0438895476953,87.1060487493026,0.967346316965606,0.959245742723602,0.975446891207611
"11","eDNA",11,"Rarefaction",0,84.7101648351652,81.0536729844745,88.3666566858559,0.972185809114743,0.964280143022398,0.980091475207088
"12","eDNA",12,"Rarefaction",0,85.6771170006466,81.896464307848,89.4577696934452,0.975979435116491,0.968147750442371,0.983811119790611
"13","eDNA",13,"Rarefaction",0,86.5121848739497,82.6079120147315,90.416457733168,0.978988397389413,0.971111885595697,0.986864909183128
"14","eDNA",14,"Rarefaction",0,87.2426470588235,83.2142773862252,91.2710167314218,0.981387478849408,0.973343514181284,0.989431443517532
"15","eDNA",15,"Rarefaction",0,87.889705882353,83.7353791941523,92.0440325705538,0.9832910321489,0.97495167747765,0.99163038682015
"16","eDNA",16,"Rarefaction",0,88.4705882352941,84.1866672714139,92.7545091991743,0.984771573604061,0.976005630900563,0.993537516307559
"17","eDNA",17,"Observed",0,89,84.5806912041718,93.4193087958282,0.986120927841676,0.97705231510327,0.995189540580082
"18","eDNA",18,"Extrapolation",0,89.4825018615041,84.9202421782509,94.0447615447573,0.987350719045578,0.978106006760206,0.99659543133095
"19","eDNA",19,"Extrapolation",0,89.9222503935079,85.2088977755624,94.6356030114533,0.988471541408628,0.979162048503514,0.997781034313742
