"","Geog_sort","Location","Site","Site_Code","Month","Day","Year","Investigator","Time_Start","Time_End","Tide_Height","Tide_Type","Time_high_tide","Time_low_tide","Collection_Method","Seine_Size_feet","Shore_distance_meters","Haul_number","Sample_number","Entered_as","Subclass","Family","Species","Common_Name","SP_Code","Count","Total_Length_mm","Standard_Length_mm","Wet_Body_Weight_g","Sex","Gut_Collected","Isotope_Sample","Notes"
"1",NA,"Santa_Barbara","Santa_Claus","SC",10,12,2018,"Madden_Puerzer",1030,1115,"high",NA,1200,NA,"Seine",50,25,4,NA,"Bat_ray","Elasmobranchii","Myliobatidae","Myliobatis_californica","Bat_ray","MYCA",1,NA,200,NA,"ND","No","No",NA
"2",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"3",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"4",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"5",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"6",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"7",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"8",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"9",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"10",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"11",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"12",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"13",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"14",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"15",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"16",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"17",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"18",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"19",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"20",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"21",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"22",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
"23",15,"Santa_Catalina_Island","Little_Harbor","LH",10,19,2018,NA,1645,1730,"high","rising",1900,NA,"Seine",50,20,4,NA,"Topsmelt","Actinopterygii","Atherinopsidae","Atherinops_affinis","Topsmelt","ATAF",1,NA,NA,NA,"ND","No","No","none_measured"
